sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_87,0.600,0.600,0.600
FAVITES_output_logSI_contemp_T200_N100_E1_89,0.292,0.292,0.292
FAVITES_output_logSI_contemp_T200_N100_E1_90,0.130,0.158,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_91,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_92,0.400,0.500,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_93,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_94,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_95,0.250,0.269,0.259
FAVITES_output_logSI_contemp_T200_N100_E1_96,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_97,0.158,0.158,0.158
FAVITES_output_logSI_contemp_T200_N100_E1_98,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_99,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_101,0.286,0.296,0.291
FAVITES_output_logSI_contemp_T200_N100_E1_102,0.538,0.636,0.583
FAVITES_output_logSI_contemp_T200_N100_E1_103,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_104,0.250,0.263,0.256
FAVITES_output_logSI_contemp_T200_N100_E1_105,0.209,0.243,0.225
FAVITES_output_logSI_contemp_T200_N100_E1_106,0.107,0.111,0.109
FAVITES_output_logSI_contemp_T200_N100_E1_107,0.308,0.364,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_109,0.227,0.263,0.244
FAVITES_output_logSI_contemp_T200_N100_E1_110,0.182,0.235,0.205
FAVITES_output_logSI_contemp_T200_N100_E1_112,0.333,0.500,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_113,0.059,0.059,0.059
FAVITES_output_logSI_contemp_T200_N100_E1_114,0.467,0.583,0.519
FAVITES_output_logSI_contemp_T200_N100_E1_115,0.312,0.333,0.323
FAVITES_output_logSI_contemp_T200_N100_E1_116,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_118,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_119,0.125,0.135,0.130
FAVITES_output_logSI_contemp_T200_N100_E1_120,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_121,0.100,0.105,0.103
FAVITES_output_logSI_contemp_T200_N100_E1_122,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_123,0.211,0.231,0.220
FAVITES_output_logSI_contemp_T200_N100_E1_124,0.241,0.245,0.243
FAVITES_output_logSI_contemp_T200_N100_E1_125,0.214,0.214,0.214
FAVITES_output_logSI_contemp_T200_N100_E1_126,0.263,0.312,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_127,0.200,0.235,0.216
