sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_116,0.750,0.750,0.750
FAVITES_output_logSI_contemp_T200_N100_E1_118,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_120,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_121,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_122,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_125,0.143,0.143,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_127,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_129,0.600,0.600,0.600
FAVITES_output_logSI_contemp_T200_N100_E1_131,0.273,0.273,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_132,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_134,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_136,0.217,0.217,0.217
FAVITES_output_logSI_contemp_T200_N100_E1_137,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_138,0.231,0.231,0.231
FAVITES_output_logSI_contemp_T200_N100_E1_139,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_140,0.138,0.138,0.138
FAVITES_output_logSI_contemp_T200_N100_E1_141,0.192,0.192,0.192
FAVITES_output_logSI_contemp_T200_N100_E1_142,0.182,0.182,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_144,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_146,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_149,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_150,0.600,0.600,0.600
FAVITES_output_logSI_contemp_T200_N100_E1_151,0.417,0.417,0.417
FAVITES_output_logSI_contemp_T200_N100_E1_152,0.231,0.231,0.231
FAVITES_output_logSI_contemp_T200_N100_E1_153,0.214,0.214,0.214
FAVITES_output_logSI_contemp_T200_N100_E1_154,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_155,0.241,0.241,0.241
FAVITES_output_logSI_contemp_T200_N100_E1_156,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_157,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_158,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_159,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_161,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_162,0.222,0.222,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_163,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_165,0.208,0.208,0.208
FAVITES_output_logSI_contemp_T200_N100_E1_166,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_167,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_168,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_170,0.308,0.308,0.308
FAVITES_output_logSI_contemp_T200_N100_E1_172,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_174,0.538,0.538,0.538
FAVITES_output_logSI_contemp_T200_N100_E1_175,0.300,0.300,0.300
FAVITES_output_logSI_contemp_T200_N100_E1_176,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_177,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_178,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_180,0.280,0.280,0.280
FAVITES_output_logSI_contemp_T200_N100_E1_181,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_182,0.182,0.182,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_183,0.385,0.385,0.385
FAVITES_output_logSI_contemp_T200_N100_E1_184,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_185,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_187,0.238,0.238,0.238
FAVITES_output_logSI_contemp_T200_N100_E1_188,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_189,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_190,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_191,0.600,0.600,0.600
FAVITES_output_logSI_contemp_T200_N100_E1_193,0.429,0.429,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_195,0.381,0.381,0.381
FAVITES_output_logSI_contemp_T200_N100_E1_196,0.000,0.000,0.000
