sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_87,0.800,0.267,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_89,0.917,0.073,0.136
FAVITES_output_logSI_contemp_T200_N100_E1_90,0.826,0.139,0.237
FAVITES_output_logSI_contemp_T200_N100_E1_91,0.750,0.300,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_92,0.800,0.364,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_93,0.600,0.200,0.300
FAVITES_output_logSI_contemp_T200_N100_E1_94,0.900,0.164,0.277
FAVITES_output_logSI_contemp_T200_N100_E1_95,0.893,0.071,0.131
FAVITES_output_logSI_contemp_T200_N100_E1_96,0.750,0.600,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_97,0.947,0.095,0.172
FAVITES_output_logSI_contemp_T200_N100_E1_98,0.833,0.417,0.556
FAVITES_output_logSI_contemp_T200_N100_E1_99,0.667,0.250,0.364
FAVITES_output_logSI_contemp_T200_N100_E1_101,0.786,0.058,0.108
FAVITES_output_logSI_contemp_T200_N100_E1_102,0.538,0.103,0.173
FAVITES_output_logSI_contemp_T200_N100_E1_103,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_104,0.850,0.032,0.061
FAVITES_output_logSI_contemp_T200_N100_E1_105,0.884,0.056,0.106
FAVITES_output_logSI_contemp_T200_N100_E1_106,0.929,0.069,0.128
FAVITES_output_logSI_contemp_T200_N100_E1_107,0.846,0.053,0.099
FAVITES_output_logSI_contemp_T200_N100_E1_109,0.682,0.078,0.140
FAVITES_output_logSI_contemp_T200_N100_E1_110,0.682,0.095,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_112,0.667,0.333,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_113,0.882,0.098,0.176
FAVITES_output_logSI_contemp_T200_N100_E1_114,0.733,0.136,0.229
FAVITES_output_logSI_contemp_T200_N100_E1_115,0.688,0.091,0.161
FAVITES_output_logSI_contemp_T200_N100_E1_116,0.500,0.200,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_118,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_119,0.825,0.047,0.088
FAVITES_output_logSI_contemp_T200_N100_E1_120,0.778,0.156,0.259
FAVITES_output_logSI_contemp_T200_N100_E1_121,0.850,0.089,0.161
FAVITES_output_logSI_contemp_T200_N100_E1_122,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_123,0.895,0.046,0.088
FAVITES_output_logSI_contemp_T200_N100_E1_124,0.926,0.035,0.067
FAVITES_output_logSI_contemp_T200_N100_E1_125,0.857,0.114,0.202
FAVITES_output_logSI_contemp_T200_N100_E1_126,0.868,0.062,0.115
FAVITES_output_logSI_contemp_T200_N100_E1_127,0.700,0.090,0.159
FAVITES_output_logSI_contemp_T200_N100_E1_128,0.596,0.032,0.061
FAVITES_output_logSI_contemp_T200_N100_E1_129,0.700,0.212,0.326
FAVITES_output_logSI_contemp_T200_N100_E1_130,0.774,0.059,0.109
FAVITES_output_logSI_contemp_T200_N100_E1_131,0.636,0.149,0.241
FAVITES_output_logSI_contemp_T200_N100_E1_132,0.800,0.205,0.327
FAVITES_output_logSI_contemp_T200_N100_E1_133,0.932,0.050,0.094
FAVITES_output_logSI_contemp_T200_N100_E1_134,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_135,0.800,0.055,0.103
FAVITES_output_logSI_contemp_T200_N100_E1_136,0.913,0.083,0.152
FAVITES_output_logSI_contemp_T200_N100_E1_137,0.750,0.207,0.324
FAVITES_output_logSI_contemp_T200_N100_E1_138,0.769,0.110,0.192
FAVITES_output_logSI_contemp_T200_N100_E1_139,0.714,0.057,0.105
