sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_87,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_89,0.042,0.042,0.042
FAVITES_output_logSI_contemp_T200_N100_E1_90,0.348,0.348,0.348
FAVITES_output_logSI_contemp_T200_N100_E1_91,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_92,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_93,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_94,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_95,0.107,0.107,0.107
FAVITES_output_logSI_contemp_T200_N100_E1_96,0.750,0.750,0.750
FAVITES_output_logSI_contemp_T200_N100_E1_97,0.158,0.158,0.158
FAVITES_output_logSI_contemp_T200_N100_E1_98,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_99,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_101,0.179,0.179,0.179
FAVITES_output_logSI_contemp_T200_N100_E1_102,0.231,0.231,0.231
FAVITES_output_logSI_contemp_T200_N100_E1_103,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_104,0.117,0.117,0.117
FAVITES_output_logSI_contemp_T200_N100_E1_105,0.209,0.209,0.209
FAVITES_output_logSI_contemp_T200_N100_E1_106,0.214,0.214,0.214
FAVITES_output_logSI_contemp_T200_N100_E1_107,0.231,0.231,0.231
FAVITES_output_logSI_contemp_T200_N100_E1_109,0.182,0.182,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_110,0.364,0.364,0.364
FAVITES_output_logSI_contemp_T200_N100_E1_112,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_113,0.059,0.059,0.059
FAVITES_output_logSI_contemp_T200_N100_E1_114,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_115,0.125,0.125,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_116,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_118,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_119,0.125,0.125,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_120,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_121,0.300,0.300,0.300
FAVITES_output_logSI_contemp_T200_N100_E1_122,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_123,0.175,0.175,0.175
FAVITES_output_logSI_contemp_T200_N100_E1_124,0.037,0.037,0.037
FAVITES_output_logSI_contemp_T200_N100_E1_125,0.071,0.071,0.071
